sku,internal_code,status,brand,series,model,variant_of,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,stock_count,condition,installation_included,warranty_months,compressor_warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,highlights,faqs,image_files
GAL-RF-011,RFF270B / 3WPV100RBWDP,active,Voltas Beko,,RFF270B,,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-012,RFF270B / 3WPV100RXBDP,active,Voltas Beko,,RFF270B,GAL-RF-011,,,Voltas Beko 230L Frost Free Double Door Refrigerator,"This 230L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,230L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-013,RFF284D / 1WPV100RXIDP,active,Voltas Beko,,RFF284D,,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-014,RFF284C / 2WPV100RBBDP,active,Voltas Beko,,RFF284C,,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-015,RFF284C / 2WPV100RBWDP,active,Voltas Beko,,RFF284C,GAL-RF-014,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-016,RFF284C / 2WPV100RXIDP,active,Voltas Beko,,RFF284C,GAL-RF-014,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-017,RFF284C / 2WPV100RXBDP,active,Voltas Beko,,RFF284C,GAL-RF-014,,,Voltas Beko 245L Frost Free Double Door Refrigerator,"This 245L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,245L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-018,RFF295D / 1W0V100RXID,active,Voltas Beko,,RFF295D,,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-019,RFF295C / 2WPV100RXIDP,active,Voltas Beko,,RFF295C,,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-020,RFF295C / 2WPV100RCWDP,active,Voltas Beko,,RFF295C,GAL-RF-019,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-021,RFF295C / 2WPV100RXBDP,active,Voltas Beko,,RFF295C,GAL-RF-019,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-022,RFF295C / 2WPV100RCBDP,active,Voltas Beko,,RFF295C,GAL-RF-019,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-023,RFF295B / 3WPV100RXIDP,active,Voltas Beko,,RFF295B,,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-024,RFF295B / 3WPV100RXBDP,active,Voltas Beko,,RFF295B,GAL-RF-023,,,Voltas Beko 250L Frost Free Double Door Refrigerator,"This 250L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,250L,,,,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-025,RFF315D / 1WPV100RXID,active,Voltas Beko,,RFF315D,,,,Voltas Beko 268L Frost Free Double Door Refrigerator,"This 268L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,268L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-026,RFF315C / 2WPV100RXIDP,active,Voltas Beko,,RFF315C,,,,Voltas Beko 268L Frost Free Double Door Refrigerator,"This 268L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,268L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
GAL-RF-027,RFF315C / 2WPV100RXBDP,active,Voltas Beko,,RFF315C,GAL-RF-026,,,Voltas Beko 268L Frost Free Double Door Refrigerator,"This 268L frost-free double-door refrigerator has 6-in-1 adjustable modes, NeoFrost dual cooling and hybrid cooling. It includes an internal digital display, a 32L vegetable crisper and toughened glass shelves.",Refrigerator,Double Door,,,,,,new,,,,,,,,268L,,,true,,,6-in-1 Adjustable :: Adjust between modes effortlessly to suit your needs|NeoFrost Dual Cooling :: Two separate cooling circuits for faster and more even cooling|32L Vegetable Crisper :: Storage capacity of up to 32 L,,
