sku,internal_code,status,brand,series,model,variant_of,gtin,hsn,title,description,category,sub_category,mrp,selling_price,gst_rate,availability,stock_count,condition,installation_included,warranty_months,compressor_warranty_months,weight_kg,length_mm,width_mm,height_mm,capacity,color,star_rating,inverter,rating_value,rating_count,highlights,faqs,image_files
GAL-AC-008,Voltas 1.5T SAC 183 INV Vectra Zen Silver,active,Voltas,,4504053,,,,"Voltas Split Air Conditioner, 1.5 Ton,3 Star - 183INV Vectra Zen Silver","5 Ton 3 Star Inverter Split Room AC crafted for smart, efficient comfort . With 5 Step Adjustable Mode , it fine‑tunes cooling capacity to your room’s heat load and occupancy, reducing energy waste while keeping comfort steady. Need instant relief? Turbo Cooling delivers a rapid temperature pull‑down when you walk in from the heat.",Air Conditioner,Split AC,60990,35000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-008
GAL-CO-001,Voltas Air Cooler Victor 55,active,Voltas,,4810341,,,,Voltas Desert Air Cooler Victor 55,": 4810341 / Victor 55 Product Color: White-Grey Gross Volume: 55 Litre Wood wool pad for optimum cooling Motor with Thermal overload protection Sleek &amp; Elegant Design Ice Chamber Turbo Air Throw Works on Inverter View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,15090,10390,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-001
GAL-AC-009,Voltas SAC 243INV Vectra Elegant,active,Voltas,,4504077,,,,"Voltas Split Air Conditioner, 2 Ton, 3 Star - 243INV Vectra Elegant","With 5 Step Adjustable Mode , it scales cooling capacity to match real‑time heat load and occupancy, delivering the comfort you need while optimizing energy use. Need rapid relief after stepping indoors? Turbo Cooling drives a quick temperature pull‑down for instant comfort. Built to beat Indian summers, its High Ambient Cooling ensures reliable performance even at 52°C .",Air Conditioner,Split AC,74990,47500,,in_stock,,new,,,,,,,,2 Ton,,3,,,,,,gal-ac-009
GAL-CO-002,Voltas Air Cooler JetMax 90,active,Voltas,,4810349,,,,Voltas Desert Air Cooler JetMax 90,"Key Features: Model No.: 4810349 / JetMax 90 Gross Volume: 90 Litre Honeycomb Pad for Long Lasting Cooling Smart Humidity Control View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,18990,12790,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-002
GAL-AC-010,Voltas 1.0T SAC 123INV Vectra Elegant,active,Voltas,,4504052,,,,"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Elegant","With 5 Step Adjustable Mode , it fine‑tunes capacity to match your real‑time needs, cutting down on energy waste without compromising comfort. When you need quick relief, Turbo Cooling delivers a rapid temperature drop for instant chill. Built to beat Indian summers, its High Ambient Cooling ensures reliable performance even at 52°C .",Air Conditioner,Split AC,53990,33000,,in_stock,,new,,,,,,,,1 Ton,,3,,,,,,gal-ac-010
GAL-AC-011,Voltas 1.0T SAC 123 INV Vectra Emerald,active,Voltas,,4504051,,,,"Voltas Split Air Conditioner, 1 Ton, 3 Star - 123INV Vectra Emerald","With 5 Step Adjustable Mode , it fine‑tunes cooling capacity to match real‑time room load and occupancy, cutting energy waste without compromising comfort. Need instant relief? Turbo Cooling drives a quick temperature pull‑down for fast comfort. Built to beat Indian summers, its High Ambient Cooling keeps performance reliable even at 52°C .",Air Conditioner,Split AC,53990,33000,,in_stock,,new,,,,,,,,1 Ton,,3,,,,,,gal-ac-011
GAL-ST-003,Voltas Stablizer VA 5130-130V-300V,active,Voltas,,9015132,,,,Stabilizer VA5130 - 130V-300V - 5 KVA,"Key Features: Model No.: 9015132 / VA5130 - 130V-300V - 5 KVA Transformer Type: Torodial Core Applicable For: 2 TR Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033",Stabiliser,,6290,4594,,in_stock,,new,,,,,,,,,,,,,,,,gal-st-003
GAL-ST-004,Voltas Stablizer VA 4170-170V-270V,active,Voltas,,9014171,,,,Stabilizer VA4170 L - 170V-270V 4 KVA,"Key Features: Model No.: 9014171 / VA4170 L - 170V-270V 4 KVA Transformer Type: EI Core Applicable For: 1.5 TR Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033",Stabiliser,,3290,2300,,in_stock,,new,,,,,,,,4170L,,,,,,,,gal-st-004
GAL-CO-003,Voltas Air Cooler Grand 72,active,Voltas,,4810331,,,,Voltas Desert Air Cooler Grand 72,": 4810331 / Grand 72 Product Color: White-Grey Gross Volume: 72 Litre Honeycomb Pad for Long Lasting Cooling Works on Inverter 72 litre Tower Cooler with honeycomb cooling pads View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,18190,12290,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-003
GAL-XX-002,MS20MPW10,not-listed,Voltas Beko,,1300016,,,,"20 L Smart Solo Microwave Oven (MS20MPW10, White | With Anti bacterial Inner Cavity and Large Turntable)","Key Features: Model No.: MS20MPW10 Product Color: White Microwave Type : Solo Cavity Capacity : 20 L Maximum Microwave Power Output : 700W Microwave Control Type : Electronic No. of Microwave Power Levels : 6 Warranty: 01 Year Comprehensive + Additional 01 Year on Magnetron W x D x H (cm) : 45.1 x 25.8 x 32.5 Specifications: Defrost: Yes Microwave Timer: Digital Timer Know More Details Brand Name: VOLTAS BEKO Country of Origin: China Manufacturers / Importers: Voltbek Home Appliances Pvt Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033",,,9590,5950,,in_stock,,new,,,,,,,,20L,,,,,,,,gal-xx-002
GAL-XX-003,Voltas Air Cooler Wind 54 WW,not-listed,Voltas,,4810390,,,,Voltas Window Air Cooler Wind 54 WW,": 4810390 / Wind 54 WW Gross Volume: 45 Litre Wood wool pad for long lasting cooling Motor with Thermal overload protection Works on Inverter Trolley View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",,,10890,7590,,in_stock,,new,,,,,,,,,,,,,,,,gal-xx-003
GAL-CO-004,Voltas Air Cooler JetMax 70,active,Voltas,,4810348,,,,Voltas Desert Air Cooler JetMax 70,": 4810348 / JetMax 70 Product Color: White-Grey Gross Volume: 70 Litre Honeycomb Pad for Long Lasting Cooling Motor with Thermal overload protection Remote Control Sleek &amp; Elegant Design Works on Inverter View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,18190,12090,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-004
GAL-CO-005,VOLTAS AIR COOLER TEJAS 110,active,Voltas,,4810441,,,,Voltas Desert Air Cooler TEJAS 110,": 4810441 / Tejas 110 Gross Volume: 110 Litre Honeycomb pad for long lasting cooling Metal Fan (Higher Air Throw) Motor with Thermal Overload Protection For Rooms up to 50 sq.m Works on Inverter Ice Chamber Fully Closable Louvers Lockable – Heavy Duty Industrial Wheels 3 Side Cooling Pad Detachable and Easy to Clean Honeycomb Pad View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,21990,14790,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-005
GAL-XX-004,G5003HP-WH,not-listed,Voltas Beko,,1610004,,,,500 W Mixer Grinder (G5003HP-WH | 3 Jars | White with GrindX Technology),"It features durable stainless steel jars, multi-purpose blades, and user-friendly controls. Designed for convenience, it ensures smooth operation, making daily food preparation effortless and quick. 1610004 / G5003HP-WH Colour: White Capacity: 500 W GrindX Blade Technology for Tough Grinding Powerful 500 Watt motor 3 Speeds + Pulse Function Overload Protection Therma-trip for Motor protection Easy-to-Clean Wide Mouth Jar Elegant Design Technical Specifications: 500 W Powerful Motor 3 Jars for Mixing and Grinding (0.8 litre, 1.2 Litre &amp; 0.3 Litre) Warranty : 1 Year Replacement Brand Name: V",,,4490,2590,,in_stock,,new,,,,,,,,,,,,,,,,gal-xx-004
GAL-CO-006,VOLTAS AIR COOLER MAGIC AIR 110,active,Voltas,,4810489,,,,Voltas Desert Air Cooler MAGIC AIR 110,": 4810489 / Magic Air 110 Gross Volume: 110 Litre Honeycomb pad for long lasting cooling Motor with Thermal Overload Protection Rooms upto 48 sq.m Works on Inverter Ice Chamber 3 Side Cooling Pad Bigger Tank Capacity Detachable and Easy to Clean Honeycomb Pad View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,20490,13890,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-006
GAL-AC-012,Voltas SAC 183INV Vectra Elan,active,Voltas,,4504054,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver","5 Ton 3 Star Inverter Split Room AC designed for smart, efficient comfort . With 5 Step Adjustable Mode , it fine‑tunes cooling capacity to your room’s heat load and occupancy, minimizing energy waste while keeping comfort steady. Need quick relief after stepping in from the heat? Turbo Cooling delivers a rapid temperature pull‑down for instant chill.",Air Conditioner,Split AC,60990,35000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-012
GAL-AC-013,Voltas 1.5T SAC 185 INV Vectra Elegant,active,Voltas,,4504083,,,,"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vectra Elegant","5 Ton 5 Star Inverter Split Room AC crafted for smarter comfort with premium energy savings. The inverter compressor modulates speed to maintain stable temperatures with lower power consumption, supported by a 5 Star rating. With 5 Step Adjustable Mode, you can fine-tune cooling capacity based on real-time room load to reduce energy waste without compromising comfort.",Air Conditioner,Split AC,73990,46000,,in_stock,,new,,,,,,,,1.5 Ton,,5,,,,,,gal-ac-013
GAL-CO-007,VOLTAS AIR COOLER GRAND 92,active,Voltas,,4810333,,,,Voltas Desert Air Cooler Grand 92,": 4810333 / Grand 92 Gross Volume: 92 Litre Honeycomb pad for long lasting cooling Remote Control Works on Inverter Eco Cool Mode View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,19890,13490,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-007
GAL-AC-014,Voltas 1.5T SAC 183 INV Vertis AI Zest Gold,active,Voltas,,4504075,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","5 Ton 3 Star Inverter Split Room AC your smarter, intuitive cooling partner . Powered by Smart AI RAC , it learns your usage patterns and adjusts cooling automatically for optimum comfort. With AI Adaptive Cooling , it senses room conditions and sets the ideal temperature without manual input.",Air Conditioner,Split AC,66990,38000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-014
GAL-CO-008,Voltas Air Cooler Windsor 65,active,Voltas,,4810335,,,,Room Air Cooler Windsor 65,": 4810335 / Windsor 65 Gross Volume: 65 Litre Product Color: White &amp; Grey Honeycomb + Woodwool Pad for Long Lasting Cooling Motor with Thermal Overload Protection Mosquito Repellent Works on Inverter 65 litre Desert Cooler with Honeycomb cooling pads View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,,16990,13405,,in_stock,,new,,,,29.5,,,,,,,,,,,,gal-co-008
GAL-CO-009,Voltas Air Cooler Epicool 90,active,Voltas,,4810373,,,,Voltas Desert Air Cooler Epicool 90,": 4810373 / Epicool 90 Gross Volume: 90 Litre Honeycomb Pad for Long Lasting Cooling Works on Inverter Motor with Thermal overload protection Fully Collapsible Louvers View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,19890,13390,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-009
GAL-AC-015,Voltas SAC 245 INV Vectra Plush,active,Voltas,,4504069,,,,"Voltas Split Air Conditioner, 2 Ton, 5 Star - 245INV Vectra Plush","With 5 Step Adjustable Mode, it fine-tunes cooling capacity to match real-time room load and occupancy, cutting energy waste without compromising comfort. Need instant relief? Turbo Cooling drives a quick temperature pull-down for fast comfort. Built to beat Indian summers, its High Ambient Cooling keeps performance reliable even at 52°C.",Air Conditioner,Split AC,90990,60000,,in_stock,,new,,,,,,,,2 Ton,,5,,,,,,gal-ac-015
GAL-AC-016,Voltas 1.5T SAC 185 INV Venus Luxe,active,Voltas,,4504068,,,,"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Venus Luxe","5 Ton 5 Star Inverter Split Room AC engineered for smarter, wider, and quieter cooling. With 6 Step Adjustable Mode , it lets you fine‑tune cooling capacity to match real‑time room load and occupancy, helping save energy without compromising comfort. The Large Indoor Unit and Long Air Throw deliver powerful, far‑reaching airflow so every corner of the room feels evenly cool.",Air Conditioner,Split AC,80990,53000,,in_stock,,new,,,,,,,,1.5 Ton,,5,,,,,,gal-ac-016
GAL-AC-017,Voltas 1.5T SAC 183 INV Venus Luxe,active,Voltas,,4504076,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Venus Luxe","5 Ton 3 Star Inverter Split Room AC engineered for smarter, wider, and quieter cooling . With 6 Step Adjustable Mode , it lets you fine‑tune cooling capacity to match real‑time room load and occupancy, helping save energy without compromising comfort. The Large Indoor Unit and Long Air Throw deliver powerful, far‑reaching airflow so every corner of the room feels evenly cool.",Air Conditioner,Split AC,67990,42000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-017
GAL-CO-010,Voltas Air Cooler Epicool 70,active,Voltas,,4810372,,,,Voltas Desert Air Cooler Epicool 70,": 4810372 / Epicool 70 Gross Volume: 70 Litre Honeycomb Pad for Long Lasting Cooling Works on Inverter Motor with Thermal overload protection Fully Collapsible Louvers View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,18690,12590,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-010
GAL-CO-011,Voltas Air Cooler Jetmax 70T/DLXS,active,Voltas,,4810352,,,,Voltas Desert Air Cooler JetMax 70T,": 4810352 / JetMax 70T Gross Volume: 70 Litre Honeycomb Pad for Long Lasting Cooling Touch Control Remote Control View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,19790,13290,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-011
GAL-AC-018,Voltas 1.5T SAC 183 INV Vertis Zephyr Gold,active,Voltas,,4504085,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zephyr Gold","5 Ton 3 Star Inverter Split Room AC engineered for smart, quiet, and even cooling . With 6 Step Adjustable Mode , it gives you precise control over cooling capacity, matching real‑time room load and occupancy to save energy without compromising comfort. When you need quick relief, Turbo Cooling delivers a fast temperature pull‑down, while Ice Wash Technology helps keep the indoor unit coil cleaner for fresher airflow and sustained performance over time.",Air Conditioner,Split AC,64990,36500,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-018
GAL-CO-012,Voltas Air Cooler JetMax 54,active,Voltas,,4810347,,,,Voltas Desert Air Cooler JetMax 54,": 4810347 / JetMax 54 Product Color: White-Grey Gross Volume: 54 Litre Honeycomb Pad for Long Lasting Cooling Motor with Thermal overload protection Remote Control Works on Inverter Sleek &amp; Elegant Design View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,16290,11090,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-012
GAL-CO-013,VICTOR 55,active,Voltas,,4810341,,,,Voltas Desert Air Cooler Victor 55,": 4810341 / Victor 55 Product Color: White-Grey Gross Volume: 55 Litre Wood wool pad for optimum cooling Motor with Thermal overload protection Sleek &amp; Elegant Design Ice Chamber Turbo Air Throw Works on Inverter View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,15090,10390,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-013
GAL-CO-014,Voltas Air Cooler Epicool 54,active,Voltas,,4810371,,,,Voltas Desert Air Cooler Epicool 54,": 4810371 / Epicool 54 Gross Volume: 54 Litre Honeycomb Pad for Long Lasting Cooling Works on Inverter Motor with Thermal overload protection Fully Collapsible Louvers View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,16990,11490,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-014
GAL-AC-019,Voltas 1.5T SAC 183 INV HC Vectra Zenith,active,Voltas,,4504054,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver","5 Ton 3 Star Inverter Split Room AC designed for smart, efficient comfort . With 5 Step Adjustable Mode , it fine‑tunes cooling capacity to your room’s heat load and occupancy, minimizing energy waste while keeping comfort steady. Need quick relief after stepping in from the heat? Turbo Cooling delivers a rapid temperature pull‑down for instant chill.",Air Conditioner,Split AC,60990,35000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-019
GAL-CO-015,VOLTAS AIR COOLER TEJAS 85,active,Voltas,,4810439,,,,Voltas Desert Air Cooler TEJAS 85,": 4810439 / Tejas 85 Gross Volume: 85 Litre Honeycomb pad for long lasting cooling Metal Fan (Higher Air Throw) Motor with Thermal Overload Protection For Rooms up to 50 sq.m Works on Inverter Ice Chamber Fully Closable Louvers Lockable – Heavy Duty Industrial Wheels 3 Side Cooling Pad Detachable and Easy to Clean Honeycomb Pad View Product Catalogue Brand Name: VOLTAS Country of Origin: India Manufacturers / Importers: Voltas Ltd, Voltas House 'A',' Dr. Babasaheb Ambedkar Road, Chinchpokli, Mumbai, Maharashtra-400033 Cancellation Refund Policy",Air Cooler,Desert,20990,14190,,in_stock,,new,,,,,,,,,,,,,,,,gal-co-015
GAL-AC-020,Voltas 1.5T SAC 183 INV Vertis Elan,active,Voltas,,4504075,,,,"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","5 Ton 3 Star Inverter Split Room AC your smarter, intuitive cooling partner . Powered by Smart AI RAC , it learns your usage patterns and adjusts cooling automatically for optimum comfort. With AI Adaptive Cooling , it senses room conditions and sets the ideal temperature without manual input.",Air Conditioner,Split AC,66990,38000,,in_stock,,new,,,,,,,,1.5 Ton,,3,,,,,,gal-ac-020
GAL-AC-021,Voltas SAC 243 INV Vectra Plush / Plush-1,active,Voltas,,4504077,,,,"Voltas Split Air Conditioner, 2 Ton, 3 Star - 243INV Vectra Elegant","With 5 Step Adjustable Mode , it scales cooling capacity to match real‑time heat load and occupancy, delivering the comfort you need while optimizing energy use. Need rapid relief after stepping indoors? Turbo Cooling drives a quick temperature pull‑down for instant comfort. Built to beat Indian summers, its High Ambient Cooling ensures reliable performance even at 52°C .",Air Conditioner,Split AC,74990,47500,,in_stock,,new,,,,,,,,2 Ton,,3,,,,,,gal-ac-021
